venue,hindex
acta oecol,1
acta oecon,2
acta of bioengineering and biomechanics,2
acta oncol,1
acta ophthalmol,1
acta orthop,1
acta ortop bras,1
acta oto laryngol,1
acta paediat,1
acta palaeontol pol,1
acta pharmacol sin,1
acta phys pol a,2
acta physiol hung,1
acta physiol plant,1
acta physiol scand,1
acta polit,1
acta polytechnica hungarica,1
acta psychol,5
acta psychologica sinica,1
acta seismologica sinica,1
acta theriol,1
acta trop,1
actac,5
active and passive electronic components,1
acupuncture in medicine,1
acustica,1
ada europe,1
ada-europe,1
adapt behav,10
adapted physical activity quarterly,1
adbis,5
adc,6
adcs,3
addict behav,1
addict biol,1
adhoc-now,1
adhocnets,5
adma,9
admi,5
admin sci quart,1
admin soc work,1
administration and policy in mental health,1
adntiic,1
adolescence,1
ads,3
adsorption,1
adt,6
adv appl ceram,1
adv appl clifford algebr,3
adv atmos sci,2
adv chronic kidney dis,1
adv complex syst,7
adv comput math,7
adv differ equ,7
adv electr comput eng,4
adv geom,1
adv health sci educ,2
adv imag electron phys,11
adv med sci,1
adv physiol educ,1
adv polym technol,1
adv space res,4
adv struct eng,2
adv water resour,4
advan agron,1
advan appl math,3
advan appl microbiol,1
advan appl probab,1
advan carbohyd chem biochem,1
advan child develop behav,2
advan clin chem,1
advan drug delivery rev,2
advan ecol res,2
advan exp soc psychol,1
advan experiment med biol,4
advan insect physiol,1
advan mar biol,1
advan mater,1
advan math,2
advan parasitol,1
advan phys,1
advan study behav,1
advanced data analysis and classification,4
advanced materials research,2
advanced powder technol,1
advanced robotics,9
advanced technology for learning,2
advances in acoustics and vibration,2
advances in artificial intelligence,7
advances in artificial neural systems,7
advances in astronomy,1
advances in biochemical engineering biotechnology,1
advances in bioinformatics,5
advances in bioscience and biotechnology,1
advances in building energy research,1
advances in chemical engineering,2
advances in civil engineering,2
advances in cognitive psychology,2
advances in condensed matter physics,1
advances in decision sciences,4
advances in dental research,1
advances in fuzzy systems,7
advances in geosciences,1
advances in high energy physics,1
advances in human computer interaction,5
advances in human factors ergonomics,3
advances in materials science and engineering,3
advances in mathematical physics,3
advances in mechanical engineering,7
advances in meteorology,2
advances in molecular and cell biology,1
advances in numerical analysis,1
advances in operations research,2
advances in optical technologies,4
advances in radio science,2
advances in science and research,1
advances in science and technology,1
advances in software engineering,2
advances in space biology and medicine,1
advances in urology,1
aem,2
aeolian research,1
aepia,7
aequationes mathematicae,1
aerobiologia,1
aerosol air qual res,1
aerosol sci tech,1
aerosp sci technol,6
aes,6
aesthet plast surg,1
aesthetic surgery journal,1
aeu int j electron commun,7
afr j aquat sci,1
afr j biotechnol,2
afr j ecol,1
afr zool,1
african archaeological review,1
african journal of agricultural research,1
african journal of business management,4
african journal of microbiology research,1
african journal of pharmacy and pharmacology,1
african journal of psychiatry,1
african research review,1
afrigraph,3
afterimage,1
age,2
age ageing,1
ageing international,2
ageing soc,1
aggress violent behavior,1
agi,8
aging cell,1
aging clin exp res,1
aging neuropsychol cogn,1
agr econ,1
agr ecosyst environ,2
agr forest meteorol,3
agr syst,3
agr water manage,2
agrekon,1
agribusiness,1
agric sci china,1
agricultural information research,1
agroforest syst,1
agron sustain dev,1
ahs,4
ahswn,1
ai,61
aiaa j,4
aiai,6
aiccsa,5
aiche j,4
aici,9
aicom,14
aict,3
aids,1
aids behav,1
aied,6
aiedam,10
aiide,7
aij journal of technology and design,1
ail,9
aim,42
aime,6
aiml,2
aims,2
aimsa,9
aina,5
aintec,2
air,24
air quality atmosphere health,1
aircraft design,1
aircraft eng aerosp technol,3
airs,10
airweb,3
ais,6
aisb,3
aisc,6
ajp cell physiology,1
alcheringa,1
alcohol clin exp res,1
alenex,2
algebr represent theory,1
algebra and logic,1
algebra univ,2
algol bulletin,1
algorithmica,6
algorithms,7
algorithms mol biol,4
algosensors,2
allergy,1
allergy asthma and immunology research,1
allgemeine forst und jagdzeitung,1
allgemeines statistisches archiv,1
alt,24
alzheimers dement,1
am j bioeth,1
am j hosp palliat med,1
am j pharmacogenomics,2
am j potato res,1
am j speech lang pathol,1
am j transplant,1
amai,18
amast,4
amb express,1
amc,10
amcis,1
amdo,11
amer educ res j,1
amer j agr econ,1
amer j bot,1
amer j clin hypn,1
amer j clin nutr,1
amer j clin pathol,1
amer j commun psychol,1
amer j drug alcohol abuse,1
amer j econ sociol,1
amer j educ,1
amer j emerg med,1
amer j epidemiol,2
amer j gastroenterol,1
amer j geriatr psychiatr,2
amer j health promotion,1
amer j health syst pharm,1
amer j hum genet,2
amer j infect control,1
amer j kidney dis,1
amer j med,1
amer j med genet,1
amer j med sci,1
amer j neuroradiol,2
amer j obstet gynecol,1
amer j occup ther,1
amer j ophthalmol,1
amer j orthodont dent orthop,1
amer j otolaryngol,1
amer j pathol,1
amer j phys,1
amer j phys anthropol,1
amer j physiol heart circ phy,2
amer j physiol lung cell m ph,1
amer j prev med,2
amer j primatol,1
amer j psychiat,1
amer j psychol,2
amer j public health,1
amer j reprod immunol,1
amer j respir cell molec biol,1
amer j roentgenol,2
amer j sociol,1
amer j sport med,1
amer j surg,1
amer j trop med hyg,1
amer j vet res,1
amer math mon,1
amer mineral,1
amer naturalist,1
amer polit sci rev,1
amer psychol,1
amer sci,1
amer sociol rev,1
amer statist,3
amer zool,2
american economic journal microeconomics,1
american imago,1
american journal of agricultural and biological sciences,1
american journal of applied sciences,5
american journal of audiology,1
american journal of biochemistry and biotechnology,1
american journal of biomedical sciences,1
american journal of business,1
american journal of criminal justice,1
american journal of engineering and applied sciences,3
american journal of environmental sciences,1
american journal of philology,1
american sociologist,1
amfg,11
ami,9
amino acids,4
amire,3
amphibia reptilia,1
amr,7
amsta,7
amt,7
amta,11
an acad brasil cienc,1
an psicol,3
anaerobe,1
anaesthesia,1
anaesthesist,1
anal appl,2
anal bioanal chem,2
anal biochem,3
anal chem,1
anal chim acta,4
anal lett,2
anal methods,2
anal sci,1
analog integr circuit signal,8
analysis,1
analysis in theory and applications,4
analysis of verbal behavior,1
analyst,2
analytical cellular pathology,3
anat embryol,1
anat rec,1
anatomia clinica,1
ancs,1
anesth analg,1
anesthesiology,1
anesthesiology clinics,1
angew chem int ed,2
angiogenesis,1
angle orthodont,1
anim behav,2
anim cogn,2
anim conserv,1
anim feed sci tech,1
anim genet,1
anim prod sci,2
animal learning behavior,1
ann acad sci fenn math,1
ann allergy asthma immunol,1
ann amer acad polit soc sci,1
ann anatomy,1
ann appl probab,2
ann appl stat,6
ann assn amer geogr,2
ann behavioral med,1
ann biomed eng,6
ann bot,1
ann chim rome,1
ann clin psychiatry,1
ann comb,1
ann diagn pathol,1
ann emerg med,1
ann entomol soc amer,1
ann epidemiol,1
ann for sci,1
ann glaciol,1
ann glob anal geom,1
ann henri poincare,1
ann hum biol,1
ann hum genet,1
ann inst henri poincare anal,1
ann inst henri poincare prob,3
ann inst statist math,4
ann intensive care,1
ann intern med,1
ann math,1
ann med,1
ann microbiolog,1
ann n y acad sci,5
ann neurol,1
ann noninvasive electrocardio,1
ann nucl energ,4
ann nucl med,1
ann oncol,1
ann phys n y,1
ann probab,1
ann reg sci,2
ann statist,8
ann thorac surg,1
ann tourism res,2
annales geophysicae,2
annales societatis geologorum poloniae,1
annales umcs informatica,1
annales zoologici fennici,1
annali dell universita di ferrara,1
annals,3
annals of agricultural and environmental medicine,1
annals of economics and finance,1
annals of finance,1
annals of geophysics,1
annals of gis geographic information sciences,3
annals of physical and rehabilitation medicine,1
annals of the american thoracic society,1
annals of warsaw university of life sciences sggw land reclamation,1
annals or,13
annals surg oncology,1
annee psychol,1
annpr,9
annu rev anal chem,1
annu rev anthropol,1
annu rev appl linguist,1
annu rev biochem,1
annu rev biomed eng,6
annu rev cell dev biol,1
annu rev clin psychol,1
annu rev ecol syst,1
annu rev econ,1
annu rev entomol,2
annu rev fluid mech,1
annu rev inform sci tech,3
annu rev mater res,1
annu rev neurosci,5
annu rev pathol mech dis,1
annu rev pharmacol toxicol,1
annu rev phys chem,1
annu rev physiol,1
annu rev plant biol,1
annu rev polit sci,1
annu rev psychol,2
ansoft,2
anss,2
antarct sci,1
anthropol quart,1
anti corros method mater,1
anticancer res,1
antimicrob agents chemother,1
antiquity,1
antonie van leeuwenhoek,1
anziam j,2
aor,1
aosd,2
apal,5
apbc,3
apccas,4
apccm,2
apchi,3
apex,1
apgv,4
aphasiology,2
apidologie,1
apin,18
apj,1
apjor,2
aplas,2
apnoms,2
appetite,2
appl acoust,6
appl anim behav sci,2
appl biochem biotech,2
appl clay sci,1
appl cognitive psychol,3
appl compos mater,1
appl comput harmonic anal,8
appl econ,2
appl econ letters,2
appl econ perspect policy,1
appl energ,5
appl geochem,1
appl geophys,1
appl linguist,1
appl magn reson,1
appl mat,1
appl math mech engl ed,4
appl math model,10
appl math opt,1
appl meas educ,1
appl mech rev,2
appl microbiol biotechnol,1
appl numer math,3
appl ocean res,3
appl opt,9
appl phys lett,2
appl physiol nutr metab,1
appl psychol meas,1
appl psycholinguist,1
appl spectrosc rev,1
appl stoch models bus ind,4
appl therm eng,3
appl veg sci,1
applicable analysis,2
applicable analysis and discrete mathematics,1
applicationes mathematicae,1
applied and computational mathematics,1
applied and environmental soil science,1
applied bioinformatics,3
applied bionics and biomechanics,7
applied clinical informatics,2
applied computational electromagnetics society journal,1
applied ecology and environmental research,1
applied financial economics,3
applied geomatics,5
applied gis,1
applied human science journal of physiological anthropology,1
applied mathematics,5
applied mathematics and computer science,10
applied mathematics letters,4
applied mathematics research express,1
applied mechanics and materials,2
applied numerical analysis computational mathematics,1
applied ontology,7
applied physics a,1
applied physics b,2
applied research in quality of life,1
applied solar energy,1
applied spatial analysis and policy,1
applied stochastic models and data analysis,2
applied superconductivity,1
approximation theory and its applications,1
appt,3
apscc,3
apsec,4
apweb,6
aquac res,1
aquacult eng,2
aquacult int,1
aquaculture,1
aquaculture economics management,1
aquat biol,1
aquat bot,1
aquat conserv,1
aquat ecol,2
aquat living resour,1
aquat microb ecol,1
aquat sci,1
aquat toxicol,1
aquatic invasions,1
arXiv,1
arab j sci eng,8
arbeitsphysiologie,2
arbor,1
arc,4
arch appl mech,2
arch biochem biophys,1
arch bronconeumol,1
arch comput method eng,2
arch dis child,1
arch environ occup health,1
arch gen psychiat,1
arch gerontol geriatr,2
arch gynecol obstet,1
arch intern med,1
arch math,1
arch math log,3
arch med res,1
arch microbiol,1
arch neurol,1
arch ophthalmol,1
arch oral biol,1
arch orthop traum surg,1
arch otolar head neck surgery,1
arch pathol lab med,1
arch pharm research,1
arch phys med rehabil,2
arch ration mech anal,2
arch suicide res,1
arch surg,2
arch womens ment health,1
archaeological and anthropological sciences,1
archaeological prospection,1
archaeologies journal of the world archaeological congress,1
archaeometry,1
architectural engineering and design management,1
architectural science review,2
archival science,1
archives and museum informatics,1
archives italiennes de biologie,1
archives of acoustics,3
archives of agronomy and soil science,1
archives of civil and mechanical engineering,1
archives of environmental protection,1
archives of metallurgy and materials,1
archives of mining sciences,2
archives of phytopathology plant protection,1
arcs,3
arct antarct alp res,1
ardea,1
area,5
argument computation,10
argumenta oeconomica,1
argumentation,4
ari an international journal for physical and engineering sciences,1
arid land res manag,1
arith,1
arobots,20
arq bras oftalmol,1
arscom,1
arso,5
art in translation,1
art psychother,1
artcom,4
arterioscler thromb vasc biol,1
arthritis res ther,1
arthritis rheumatism,1
arthropod plant interact,1
arthropod struct dev,2
arthroscopy,1
artif intell eng,10
artif organs,2
artifact,1
artificial,10
artificial life and robotics,8
artmed,14
artsit,2
asaio j,1
asap,4
ase,9
asia pac educ res,2
asia pac educ rev,1
asia pac j account econ,1
asia pac j atmos sci,1
asia pac j chem eng,1
asia pac j hum resour,1
asia pac j manag,1
asia pacific business review,1
asia pacific financial markets,2
asia pacific journal of marketing and logistics,3
asia pacific public relations journal,1
asian australas j anim sci,1
asian biomed,1
asian j commun,1
asian j control,5
asian j market,1
asian j technol innov,1
asian journal of biological sciences,1
asian journal of information technology,2
asian journal of mathematics statistics,1
asian journal of medical sciences,1
asian journal of psychiatry,1
asian journal of scientific research,2
asian journal on quality,1
asian pacific journal of cancer prevention,1
asian pacific journal of tropical medicine,1
asian perspectives,1
asian rev account,1
asiasim,3
aslib proc,2
asmta,2
asonam,6
asp-dac,3
asplos,4
assay drug dev technol,1
assembly automation,4
assess eval high educ,1
assessing writing,2
assessment for effective intervention,1
assets,4
assist technol,2
ast,2
asta adv stat anal,3
astrobiology,1
astron astrophys,3
astron nachr,1
astronomy and computing,3
astropart physics,1
astrophys space sci,1
aswc,4
aswec,3
at autom,3
atc,6
atherosclerosis,1
atlantic journal of communication,1
atmos,1
atmos chem phys,2
atmos environ,4
atmos ocean,1
atmos res,3
atmos sci lett,1
atmosfera,2
atmosphere,1
atmospheric and oceanic optics,1
atmospheric measurement techniques,2
atmospheric measurement techniques discussions,1
ats,1
atva,3
audio and electroacoustics ieee transactions on,1
audiol neuro otol,1
audiological medicine,1
auditing j pract theor,2
augment altern commun,2
auic,4
auk,1
auris nasus larynx,1
aus ai,4
aus-ai,10
ausdm,6
aust account rev,1
aust econ pap,1
aust health rev,1
aust j agr res,1
aust j agric resour econ,1
aust j bot,1
aust j chem,1
aust j crop sci,2
aust j earth sci,2
aust j entomol,1
aust j exp agr,1
aust j forensic sci,2
aust j grape wine res,1
aust j linguist,1
aust j manage,1
aust j prim health,1
aust j psychol,2
aust n z j psychiat,1
aust n z j stat,2
aust soc work,1
australas phys eng sci med,4
australas radiol,1
australasian journal of educational technology,2
australasian journal of information systems,1
australasian journal of philosophy,2
australasian marketing journal (amj),3
australasian medical journal,1
australian aboriginal studies,1
australian critical care,1
australian family physician,1
australian forestry,1
autism,1
autism res,1
autism research and treatment,2
autoimmun rev,1
autom constr,9
automat remote contr engl tr,5
automated experimentation,1
automatic documentation and mathematical linguistics,4
automatica,10
automatika,1
autonomic neuroscience,1
autonomics,2
autophagy,1
avi,3
avian pathol,1
aviat space environ med,1
aviation,2
avss,13
awic,4
axiomathes,4
b e j theor econ,2
balt j manag,1
balt j road bridge eng,1
baltic international yearbook of cognition logic and communication,1
baltic journal of health and physical activity,1
bangladesh journal of scientific and industrial research,1
basic appl ecol,2
basic appl soc psychol,1
basin res,1
bautechnik,1
bayesian analysis,5
bba rev cancer,2
bci,4
behav brain funct,2
behav brain res,4
behav brain sci,10
behav cognitive psychother,1
behav ecol,1
behav ecol sociobiol,2
behav genet,2
behav neurosci,2
behav process,3
behav res account,1
behav res method instrum comp,1
behav res methods,6
behav res ther,1
behav sci law,1
behavior and philosophy,1
behavioral and cognitive neuroscience reviews,2
behavioral and neural biology,1
behavioral science,4
behaviormetrika,5
behaviour,1
behaviour it,4
belg j zool,1
benchmarking an international journal,2
berl j soziol,1
bernoulli,4
best pract res clin endoc met,1
best pract res clin gastroent,1
best practice research clinical anaesthesiology,2
bibe,6
bibm,7
bica,10
bijdragen,1
biling lang cogn,2
bilingual research journal,1
bio complexity,1
bio medical materials and engineering,1
bio technology,2
bioacoustics,2
bioanalysis,1
biochem biophys res commun,2
biochem eng j,3
biochem genet,1
biochem j,1
biochem mol biol educ,1
biochem pharmacol,1
biochem soc trans,1
biochem syst ecol,1
biochemistry,1
biochemistry (moscow) supplement series a membrane and cell biology,1
biochemistry research international,1
biochimie,2
biochip j,2
biocontrol sci technol,1
biocybernetics and biomedical engineering,4
biodata mining,4
biodegradation,1
biodivers conserv,2
bioelectrochem bioenerg,2
bioenergy research,1
bioessays,1
biofabrication,1
biofouling,1
biofuels bioproducts and biorefining,1
biogeosciences,2
biogerontology,1
bioinformatics,10
bioinformatics and biology insights,2
bioinspir biomim,6
biointerphases,1
biol agric hortic,1
biol chem,1
biol conserv,3
biol fert soils,1
biol invasions,1
biol j linn soc,1
biol pharm bull,1
biol proced online,1
biol psychiat,3
biol psychol,2
biol reprod,1
biol res,1
biol rhythm res,1
biol tr elem res,2
biologia,1
biological cybernetics,11
biological theory,1
biologicals,1
biology,1
biology bull,1
biology letters,1
biology philosophy,1
biom j,2
biomacromolecules,1
biomark med,1
biomarkers,1
biomass bioenerg,1
biomaterials,1
biomech model mechanobiol,2
biomechanisms,1
biomed,2
biomed eng appl basis commun,3
biomed eng online,6
biomed environ sci,1
biomed mater,1
biomed microdevices,1
biomed pharmacotherapy,1
biomed signal process control,8
biomed tech,2
biomedica,1
biomedical engineering ieee reviews in,5
biomedical optics express,3
biometric technology today,1
biometrics,2
biometrika,5
biomicrofluidics,1
biomol eng,1
bionetics,2
bioorg medicinal chem letter,1
bioorgan med chem,2
biopharm drug dispos,1
biophys chem,1
biophys j,3
biophysical reviews,1
biophysics,1
biopolymers,1
biopolymers and cell,1
bioprocess biosyst eng,2
bioprocess eng,1
biopsychosocial med,1
bioresource technol,2
biorheology,1
bioscience,1
bioscience rep,1
biosecur bioterror,1
biosemiotics,2
biosens bioelectron,2
biosensors,1
biosig,2
biosignals,2
biosilico,1
biosocieties,1
biostatistics,2
biostec,5
biosyst eng,6
biotechniques,1
biotechno,1
biotechnol adv,2
biotechnol bioeng,2
biotechnol biofuels,1
biotechnol bioprocess eng,1
biotechnol biotechnol equip,1
biotechnol lett,1
biotechnol progr,1
biotechnology genetic engineering reviews,1
biotechnology(faisalabad),1
biotropica,1
bird,3
bird conserv int,1
bird study,1
birte,1
bis,5
bit,3
bju int,1
bldg environ,4
blood,1
bltj,2
blut,1
bmc bioinformatics,12
bmc biol,1
bmc biophys,1
bmc biotechnol,1
bmc cancer,1
bmc cell biol,1
bmc complement altern med,1
bmc dev biol,1
bmc ecol,1
bmc evol biol,2
bmc fam pract,1
bmc genet,2
bmc genomics,5
bmc health serv res,1
bmc immunol,1
bmc infect dis,1
bmc med,1
bmc med educ,1
bmc med ethics,1
bmc med genet,1
bmc med genomics,4
bmc med imaging,3
bmc med inform decis mak,6
bmc med res methodol,2
bmc microbiol,1
bmc mol biol,1
bmc musculoskelet disord,1
bmc nephrol,1
bmc neurol,1
bmc neurosci,3
bmc ophthalmol,2
bmc pharmacol,2
bmc plant biol,2
bmc pregnancy childbirth,1
bmc proc,4
bmc psychiatry,1
bmc public health,1
bmc pulm med,1
bmc res notes,3
bmc struct biol,3
bmc surg,1
bmc syst biol,4
bmc vet res,2
bmei,5
bmj,1
bmj open,2
bmsd,1
bmvc,28
bnaic,4
bncod,4
boletim de ciencias geodesicas,1
boletin de la sociedad matematica mexicana,1
bone,2
bone marrow research,1
bot j linn soc,1
botany,1
bound lay meteorol,2
bound value probl,3
bpm,4
bpsc,1
br educ res j,1
br food j,1
br j gen pract,1
brachytherapy,1
brain,3
brain and mind,2
brain behav evol,1
brain cognition,3
brain develop,1
brain imaging behav,4
brain injury,1
brain lang,4
brain res,6
brain res bull,2
brain res protoc,1
brain res rev,2
brain sciences,3
brain stimul,1
brain struct funct,4
brain topogr,2
braz arch biol technol,1
braz j biol,1
braz j chem eng,2
braz j med biol res,1
braz j microbiol,1
braz j pharm sci,1
braz j phys,1
brazilian journal of food technology,1
brazilian journal of probability and statistics,1
breast,1
breast cancer res,1
breast cancer res treat,2
briefings in functional genomics,1
briefings in functional genomics proteomics,1
brit dent j,1
brit j anaesth,1
brit j audiol,1
brit j cancer,1
brit j clin pharmacol,1
brit j dermatol,1
brit j develop psychol,1
brit j educ stud,1
brit j educ technol,2
brit j haematol,1
brit j ind relat,1
brit j manage,1
brit j math statist psychol,3
brit j ophthalmol,2
brit j oral maxillofac surg,2
brit j psychiat,1
brit j psychol,1
brit j radiol,3
brit j soc psychol,1
brit j sport med,1
brit j surg,1
brit med bull,1
brit poultry sci,1
british accounting review,1
british journal for the history of philosophy,1
british journal for the philosophy of science,2
british journal of forensic practice,1
british journal of medical and surgical urology,1
broadnets,2
brodogradnja,1
brookings pap econ activ,1
bsb,3
bsl,2
bsn,4
bt technol j,5
building res inform,2
building simulation,1
built environment,1
bull amer math soc,2
bull amer meteorol soc,1
bull atom sci,1
bull aust math soc,1
bull belg math soc simon stev,1
bull chem soc jpn,1
bull earthq eng,2
bull eng geol environ,2
bull entomol res,1
bull environ contam toxicol,1
bull korean math soc,3
bull lebedev phys inst,1
bull lond math soc,1
bull math biol,4
bull menninger clin,1
bull sci math,1
bull seismol soc amer,1
bull volcanol,2
bull who,1
bulletin du cancer,1
bulletin of the american society for information science and technology,2
bulletin of the iranian mathematical society,1
bulletin of the polish academy of sciences mathematics,1
bulletin of the veterinary institute in pulawy,1
bundesgesundheitsblatt gesund,1
burns,1
bus comm q,1
bus ethics eur rev,1
bus inf syst eng,5
business economics,1
business horizons,2
business process management journal,3
business research,1
business strategy and the environment,1
business strategy series,1
bwcca,3
c in s e,5
c r acad sci ser i math,1
c r acad sci ser ii a,1
c r acad sci ser iii vie,1
c r biol,3
c r geosci,2
c r math,2
c r mec,1
c r phys,1
c5,2
cacm,13
cad,10
cad graphics,1
cad/graphics,5
cade,8
cagd,5
cahiers de l institut de linguistique de louvain,1
cai,4
caine,3
caip,11
cais,2
caise,5
calcified tissue int,1
calco,1
calculus of variations,1
calif manage rev,1
camad,1
camb j econ,1
cambridge journal of education,1
campus wide information systems,2
can geogr geogr can,1
can geotech j,1
can j adm sci,1
can j agr econ rev can agroec,1
can j anaesth,1
can j behav sci,1
can j chem,1
can j chem eng,3
can j civil eng,2
can j econ,1
can j elect comput eng,1
can j exp psychol,1
can j fisheries aquat sci,1
can j forest res,2
can j phys,2
can j stat,3
can j zool,1
can mod lang rev,1
can publ admin,1
can rev sociol,1
can water resour j,1
canadian aeronautics and space journal,1
canadian geographer,2
canadian journal of diabetes,1
canadian journal of gastroenterology hepatology,1
canadian journal of neurological sciences,1
canadian journal of occupational therapy,1
canadian journal of philosophy,1
canadian journal of psychology revue canadienne de psychologie,1
canadian journal of remote sensing,4
canadian psychology,1
canadian studies in population,1
cancer,1
cancer biother radiopharm,1
cancer cause control,1
cancer cell,1
cancer detection prev,1
cancer epidem biomarker prev,2
cancer epidemiol,1
cancer imaging,1
cancer informatics,4
cancer lett,2
cancer nanotechnology,1
cancer prev res,1
cancer radiother,1
cancer res,1
cancers,1
candc,6
cans,3
capturing intelligence,5
car,4
carbohyd polym,1
carbon balance manage,1
carbonate evaporite,1
carcinogenesis,1
cardiol clin,1
cardiol young,1
cardiovasc eng,1
cardiovasc interven radiol,1
cardiovasc res,1
cardiovasc ultrasound,1
cardiovascular engineering and technology,2
cardis,1
care,2
caries res,1
cars,2
cartilage,1
cartogr geogr inf sci,3
cartogr j,1
cartographica the international journal for geographic information and geovisualization,1
casa,2
casc,2
cascon,3
cases,2
cason,3
cata,2
catal commun,2
catal today,2
catalan journal of communication cultural studies,1
cataloging classification quarterly,1
catena,2
catheter cardiovasc interv,1
catheterization and cardiovascular diagnosis,1
cats,2
cav,5
cbe life sci educ,1
cbmi,10
cbms,5
cbse,2
cc,3
ccc,5
cccg,2
cce,8
ccece,6
ccgrid,4
cciw,6
ccnc,3
ccr,1
ccs,5
cdc,9
cdve,3
ceas,6
ceas space journal,2
cec,10
cee,10
celestial mechanics,1
cell,1
cell biochem biophys,1
cell biol int,1
cell commun signal,1
cell cycle,1
cell death and disease,1
cell div,1
cell host microbe,1
cell immunol,1
cell mol bioeng,1
cell mol biol lett,1
cell mol neurobiol,1
cell physiol biochem,1
cell reports,2
cell res,1
cell stem cell,1
cell stress chaperones,1
cell tissue res,1
cellulose,1
cem concr res,1
